Shipment#,Sales,Operations,Carrier legalName,Carrier displayName,Nature of Goods,Considerable Charging Unit,Origin Port,Commodity,Destination Port,isHouseholdGoods,isUsedGoods,isHazardous,isPerishable,isVehicle,Origin State,Destination State,Destination country,createdDate,shipmentStatus
MAT220985,Aurora Patel,Liam Hernandez,Turkish Airlines,Turkish Airlines/JFK *,Other,149832,PIT,supplement  ,DXB,No,No,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2022-02-15T17:46:55.687Z,Completed
MAT221306,Aurora Patel,Daniel Young,Turkish Airlines,Turkish Airlines/JFK *,Other,303510,LAX,E-Liquids,BAH,No,No,No,No,No,California,,Bahrain,2022-03-03T19:38:26.872Z,Completed
MAT234972,Evelyn Martin,Michael Miller,Turkish Airlines,Turkish Airlines / JFK*,Other,40023,LAX,"Essential Oils

",DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-07-26T15:11:28.062Z,Completed
MAT221983,Scarlett Thomas,Daniel Young,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,Other,281601,SFO,Indigo SDF10G,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2022-04-06T14:32:52.372Z,Completed
MAT234352,Alexander Young,Ava Garcia,China Airlines Cargo,China Airlines Cargo / SFO *,General,249314,IAH,COMES WITH CLEAR PLASTIC STEM PROTECTOR,CGK,No,No,No,No,No,Texas,Banten,Indonesia,2023-06-27T20:02:48.050Z,Completed
MAT227681,Aurora Patel,Benjamin Lee,British Airways,British Airways/SFO *,General,31080,LAX,E-Liquids,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2022-12-19T17:55:47.992Z,Completed
MAT237911,Maya Davis,Sophia Thomas,Turkish Airlines,Turkish Airlines / JFK*,Other,112844,SFO,Cucumber Seeds,BEY,No,No,No,No,No,California,Beirut,Lebanon,2023-12-12T21:21:36.975Z,Completed
MAT214892,Aurora Patel,Charlotte Jackson,Qatar Airways,Qatar Airways / LAX *,Other,260569,LAX,auto parts,HYD,No,No,No,No,No,California,Andhra Pradesh,India,2021-08-24T14:33:33.673Z,Completed
MAT222682,Evelyn Martin,Mia Garcia,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Other,267778,LAX,Body Massage Oil (Non DGR),RUH,No,No,No,No,No,California,Riyadh,Saudi Arabia,2022-05-12T19:19:31.432Z,Completed
MAT220482,Blake Garcia,Riley Rodriguez,Turkish Airlines,Turkish Airlines/JFK *,Other,257666,IAH,STAR-DRI® 5 NG MALTODEXTRIN 25 KG BAG,DOH,No,No,No,No,No,Texas,Doha,Qatar,2022-01-24T17:38:46.420Z,Completed
MAT230492,Evelyn Martin,Benjamin Lee,Mercury Air Cargo,Mercury World Cargo,General,79537,LAX,Essential Oils ,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-01-20T19:21:31.106Z,Completed
MAT224696,Evelyn Martin,Benjamin Lee,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,General,203991,LAX,Essential Oils ,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2022-08-18T17:08:50.347Z,Completed
MAT234260,Evelyn Martin,Ava Garcia,British Airways,British Airways/SFO *,General,78982,DFW,Machine parts,DEL,No,No,No,No,No,Texas,Punjab,India,2023-06-22T15:20:08.121Z,Completed
